Time,mean_wave_direction,peak_wave_period,significant_wave_height,mean_wave_period,UsedVRSMeasHeave
2019-11-03 15:25:00,75.2,10.2,4.4,8.8,0.726310015
2019-11-03 15:30:00,75.1,10.2,4.4,8.8,-0.059445001
2019-11-03 15:35:00,75,10.2,4.4,8.8,0.447629988
2019-11-03 15:40:00,74.9,10.2,4.4,8.8,-0.107359998
2019-11-03 15:45:00,74.8,10.2,4.4,8.8,0.187329993
2019-11-03 15:50:00,74.7,10.2,4.3,8.8,-0.179949999
2019-11-03 15:55:00,74.6,10.2,4.3,8.8,0.27076
2019-11-03 16:00:00,74.5,10.2,4.3,8.7,1.016100049
2019-11-03 16:05:00,74.4,10.2,4.3,8.7,0.747259975
2019-11-03 16:10:00,74.2,10.2,4.3,8.7,0.17893
2019-11-03 16:15:00,74.1,10.2,4.3,8.7,0.522780001
2019-11-03 16:20:00,74,10.2,4.3,8.7,0.613099992
2019-11-03 16:25:00,73.9,10.2,4.3,8.7,1.089300036
2019-11-03 16:30:00,73.8,10.2,4.3,8.7,0.895510018
2019-11-03 16:35:00,73.7,10.2,4.3,8.7,0.56844002
2019-11-03 16:40:00,73.6,10.2,4.2,8.7,-0.475230008
2019-11-03 16:45:00,73.5,10.2,4.2,8.7,-0.046877999
2019-11-03 16:50:00,73.4,10.2,4.2,8.7,-0.084775999
2019-11-03 16:55:00,73.3,10.2,4.2,8.7,0.091705002
2019-11-03 17:00:00,73.2,10.2,4.2,8.7,0.129120007
2019-11-03 17:05:00,73.1,10.2,4.2,8.7,-0.0044302
2019-11-03 17:10:00,73,10.2,4.2,8.7,0.203869999
2019-11-03 17:15:00,72.9,10.2,4.2,8.7,0.368620008
2019-11-03 17:20:00,72.8,10.2,4.2,8.7,-0.119000003
2019-11-03 17:25:00,72.7,10.2,4.2,8.7,0.577910006
2019-11-03 17:30:00,72.6,10.2,4.1,8.7,-0.105700001
2019-11-03 17:35:00,72.5,10.2,4.1,8.7,-0.195250005
2019-11-03 17:40:00,72.4,10.2,4.1,8.7,0.472220004
2019-11-03 17:45:00,72.3,10.2,4.1,8.7,0.489160001
2019-11-03 17:50:00,72.2,10.2,4.1,8.7,0.269730002
2019-11-03 17:55:00,72.1,10.2,4.1,8.7,0.185929999
2019-11-03 18:00:00,72,10.2,4.1,8.6,0.091251999
2019-11-03 18:05:00,72,10.2,4.1,8.6,-0.0010747
2019-11-03 18:10:00,72,10.2,4.1,8.6,-0.322400004
2019-11-03 18:15:00,72,10.2,4.1,8.6,-0.500729978
2019-11-03 18:20:00,72,10.1,4.1,8.6,0.230240002
2019-11-03 18:25:00,72,10.1,4,8.6,0.107670002
2019-11-03 18:30:00,72,10.1,4,8.6,-0.514450014
2019-11-03 18:35:00,72,10.1,4,8.6,0.024153
2019-11-03 18:40:00,71.9,10.1,4,8.6,-0.135049999
2019-11-03 18:45:00,71.9,10.1,4,8.6,-0.628250003
2019-11-03 18:50:00,71.9,10.1,4,8.6,-0.298949987
2019-11-03 18:55:00,71.9,10.1,4,8.6,-0.785860002
2019-11-03 19:00:00,71.9,10.1,4,8.6,-0.181840003
2019-11-03 19:05:00,71.9,10.1,4,8.6,-0.270280004
2019-11-03 19:10:00,71.9,10.1,4,8.6,-0.29471001
2019-11-03 19:15:00,71.9,10.1,4,8.6,0.080899
2019-11-03 19:20:00,71.9,10.1,4,8.6,0.087909997
2019-11-03 19:25:00,71.9,10.1,4,8.6,0.610780001
2019-11-03 19:30:00,71.9,10.1,4,8.6,-0.329140008
2019-11-03 19:35:00,71.9,10.1,3.9,8.6,-0.314009994
2019-11-03 19:40:00,71.9,10.1,3.9,8.6,0.100749999
2019-11-03 19:45:00,71.9,10.1,3.9,8.6,0.019005001
2019-11-03 19:50:00,71.9,10.1,3.9,8.6,0.420670003
2019-11-03 19:55:00,71.9,10.1,3.9,8.6,0.086202003
2019-11-03 20:00:00,71.8,10.1,3.9,8.6,0.688180029
2019-11-03 20:05:00,71.8,10.1,3.9,8.5,0.166309997
2019-11-03 20:10:00,71.8,10.1,3.9,8.5,0.199650005
2019-11-03 20:15:00,71.8,10.1,3.9,8.5,0.042002998
2019-11-03 20:20:00,71.8,10.1,3.9,8.5,0.400189996
2019-11-03 20:25:00,71.8,10.1,3.9,8.5,0.183809996
2019-11-03 20:30:00,71.8,10.1,3.9,8.5,0.023822
2019-11-03 20:35:00,71.8,10.1,3.9,8.5,-0.418099999
2019-11-03 20:40:00,71.8,10.1,3.9,8.5,-0.315539986
2019-11-03 20:45:00,71.8,10.1,3.8,8.5,-0.666840017
2019-11-03 20:50:00,71.8,10.1,3.8,8.5,-0.648469985
2019-11-03 20:55:00,71.8,10.1,3.8,8.5,-0.733070016
2019-11-03 21:00:00,71.8,10.1,3.8,8.5,0.801249981
2019-11-03 21:05:00,71.8,10.1,3.8,8.5,-0.179810002
2019-11-03 21:10:00,71.9,10.1,3.8,8.5,-0.087076999
2019-11-03 21:15:00,72,10.1,3.8,8.5,-0.143069997
2019-11-03 21:20:00,72,10.1,3.8,8.5,-0.49733001
2019-11-03 21:25:00,72.1,10.1,3.8,8.5,-0.0044722
2019-11-03 21:30:00,72.2,10,3.8,8.5,0.046213999
2019-11-03 21:35:00,72.2,10,3.8,8.5,-0.405820012
2019-11-03 21:40:00,72.3,10,3.8,8.5,0.267509997
2019-11-03 21:45:00,72.4,10,3.8,8.5,0.407449991
2019-11-03 21:50:00,72.4,10,3.8,8.5,0.536210001
2019-11-03 21:55:00,72.5,10,3.8,8.5,-0.85029
2019-11-03 22:00:00,72.6,10,3.9,8.5,0.220559999
2019-11-03 22:05:00,72.6,10,3.9,8.5,-0.065004997
2019-11-03 22:10:00,72.7,10,3.9,8.5,-0.280389994
2019-11-03 22:15:00,72.8,10,3.9,8.4,0.535440028
2019-11-03 22:20:00,72.8,10,3.9,8.4,0.211070001
2019-11-03 22:25:00,72.9,10,3.9,8.4,0.320360005
2019-11-03 22:30:00,72.9,10,3.9,8.4,0.646279991
2019-11-03 22:35:00,73,10,3.9,8.4,-0.179820001
2019-11-03 22:40:00,73.1,10,3.9,8.4,-0.208810002
2019-11-03 22:45:00,73.1,10,3.9,8.4,0.093176998
2019-11-03 22:50:00,73.2,10,3.9,8.4,-0.329479992
2019-11-03 22:55:00,73.3,10,3.9,8.4,0.059432
2019-11-03 23:00:00,73.3,10,3.9,8.4,-0.640950024
2019-11-03 23:05:00,73.4,10,3.9,8.4,0.217319995
2019-11-03 23:10:00,73.5,10,3.9,8.4,-0.184410006
2019-11-03 23:15:00,73.5,10,3.9,8.4,0.518850029
2019-11-03 23:20:00,73.6,10,3.9,8.4,-0.287180007
2019-11-03 23:25:00,73.7,10,3.9,8.4,0.182150006
2019-11-03 23:30:00,73.7,10,3.9,8.4,-0.156869993
2019-11-03 23:35:00,73.8,10,3.9,8.4,-0.403739989
2019-11-03 23:40:00,73.9,10,3.9,8.4,-0.470120013
2019-11-03 23:45:00,73.9,10,3.9,8.4,-0.673389971
2019-11-03 23:50:00,74,10,3.9,8.4,0.432940006
2019-11-03 23:55:00,74.1,10,3.9,8.4,-0.746529996
2019-11-04 00:00:00,74.1,10,3.9,8.4,0.313939989
